300163	先锋新材	2026-07-08 15:03	7.19	-11.78%	145	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:03:24
300145	南方泵业	2026-07-08 15:03	6.36	-1.40%	593	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:03:30
002910	庄园牧场	2026-07-08 15:05	12.87	10.00%	391	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:05:24
002860	星帅尔	2026-07-08 15:05	15.72	-5.30%	2876	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:05:45
002841	视源股份	2026-07-08 15:05	47.39	10.00%	678	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:05:57
002768	国恩股份	2026-07-08 15:06	60.01	 3.47%	2037	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:06:24
002747	埃斯顿	2026-07-08 15:06	44.1	-10.00%	685	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:06:30
002485	ST雪发	2026-07-08 15:07	6.0	 1.69%	1182	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:07:36
002396	星网锐捷	2026-07-08 15:08	29.1	10.02%	6715	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:08:06
002141	贤丰控股	2026-07-08 15:09	5.6	-4.27%	30837	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:09:24
000970	中科三环	2026-07-08 15:10	15.93	-3.75%	15015	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:10:57
000301	东方盛虹	2026-07-08 15:12	12.82	 3.14%	8876	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:12:27
688620	安凯微	2026-07-08 15:14	16.73	-4.29%	3599	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
688432	有研硅	2026-07-08 15:16	44.81	-2.88%	9087	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
688103	国力电子	2026-07-08 15:20	87.7	-1.41%	1100	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
688057	金达莱	2026-07-08 15:21	17.58	 7.13%	1709	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
603991	领先股份	2026-07-08 15:23	151.87	-1.82%	958	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
603928	兴业股份	2026-07-08 15:24	16.36	10.02%	1079	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:28:00
603903	中持股份	2026-07-08 15:24	15.84	 0.13%	4633	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
603789	ST星农	2026-07-08 15:24	7.03	10.02%	146	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:28:00
603725	天安新材	2026-07-08 15:24	13.52	-2.73%	2852	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
603580	艾艾精工	2026-07-08 15:25	30.68	 0.00%	0	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
603137	恒尚节能	2026-07-08 15:27	22.91	 9.99%	1076	弱卖	skipped	涨跌幅超过9.5%，不进行交易	nan	0	0	2026-07-08 15:28:00
603065	宿迁联盛	2026-07-08 15:27	21.91	 8.20%	6217	弱卖	skipped	交易数量或金额为0	nan	0	0	2026-07-08 15:28:00
600360	华微电子	2026-07-08 15:31	14.97	-2.28%	27789	弱卖	skipped	交易数量或金额为0		0	0	2026-07-08 15:35:05
600288	大恒科技	2026-07-08 15:31	17.11	10.03%	982	弱卖	skipped	涨跌幅超过9.5%，不进行交易		0	0	2026-07-08 15:35:05
