stock_code,valuation_date,pe_ttm,pb,roe_q4_annual,revenue_yoy_q4_annual
000938.SZ,2026-06-26,39.6948,4.7191,12.03,22.4289
000603.SZ,2026-06-26,23.7923,4.0858,16.29,22.2647
301608.SZ,2026-06-26,29.1759,2.9908,11.21,22.1046
002130.SZ,2026-06-26,20.8548,2.4467,19.05,22.0042
002901.SZ,2026-06-26,33.6836,4.6533,18.15,21.7882
300124.SZ,2026-06-26,35.977,4.7094,16.34,21.7702
002056.SZ,2026-06-26,30.6172,4.5054,17.42,21.7031
002209.SZ,2026-06-26,24.328,2.4992,15.63,21.6531
603162.SH,2026-06-26,20.7578,2.7102,10.79,21.4342
688087.SH,2026-06-26,24.5445,2.1539,10.66,21.2904
003039.SZ,2026-06-26,21.9693,2.3159,10.75,21.1795
603596.SH,2026-06-26,17.6102,2.579,18.03,20.9074
301299.SZ,2026-06-26,45.3985,4.454,10.77,20.9035
600489.SH,2026-06-26,12.8696,2.7047,17.05,20.6213
002150.SZ,2026-06-26,34.9203,4.1286,13.83,20.6006
300994.SZ,2026-06-26,22.1626,2.0502,12.2,20.5418
688269.SH,2026-06-26,30.431,3.7554,10.65,20.4292
002603.SZ,2026-06-26,18.7882,2.1488,11.99,20.2373
603733.SH,2026-06-26,21.0024,2.1567,12.1,20.142
688013.SH,2026-06-26,29.5774,3.451,14.7,19.9608
300644.SZ,2026-06-26,21.2407,2.3337,13.06,19.8191
605016.SH,2026-06-26,25.9424,4.9969,19.49,19.7457
002588.SZ,2026-06-26,9.5151,1.1852,14.4,19.6924
002624.SZ,2026-06-26,48.3937,3.1057,10.61,19.5507
300415.SZ,2026-06-26,12.5188,2.5863,22.83,19.4594
603606.SH,2026-06-26,23.2435,3.6869,16.83,19.2572
003002.SZ,2026-06-26,22.8856,2.3105,11.86,19.1888
601336.SH,2026-06-26,5.3778,1.5048,34.69,19.0034
002606.SZ,2026-06-26,26.1089,3.0475,11.68,18.9176
300019.SZ,2026-06-26,30.5413,2.5916,10.59,18.7515
301303.SZ,2026-06-26,26.6666,1.9653,10.18,18.7472
603025.SH,2026-06-26,18.9933,5.0429,28.56,18.698
301538.SZ,2026-06-26,29.8458,3.6825,14.48,18.6789
688698.SH,2026-06-26,44.0621,4.3977,11.79,18.6584
600388.SH,2026-06-26,17.0523,1.6673,10.58,18.4942
002448.SZ,2026-06-26,17.4964,1.8395,11.23,18.4861
300881.SZ,2026-06-26,26.9286,3.5446,22.52,18.2736
300018.SZ,2026-06-26,42.1555,4.1152,10.31,18.209
603059.SH,2026-06-26,20.6389,2.1922,10.96,18.2037
002956.SZ,2026-06-26,31.4312,3.7724,10.99,18.1118
001696.SZ,2026-06-26,49.2471,4.8991,12.82,17.9805
300181.SZ,2026-06-26,14.2077,2.634,21.36,17.9561
300827.SZ,2026-06-26,35.4567,3.7182,19.71,17.9493
300428.SZ,2026-06-26,14.0226,1.3102,11.43,17.9024
002920.SZ,2026-06-26,19.6803,3.1063,21.67,17.8836
002782.SZ,2026-06-26,47.9924,4.7617,14.32,17.8726
002468.SZ,2026-06-26,12.8554,1.8378,13.32,17.8435
301029.SZ,2026-06-26,33.1576,3.715,12.09,17.7106
601083.SH,2026-06-26,9.0459,1.3312,16.63,17.4325
603638.SH,2026-06-26,47.478,5.0801,10.98,17.2926
600323.SH,2026-06-26,10.8259,1.4773,14.07,17.2524
603193.SH,2026-06-26,24.3166,3.2636,14.54,17.1916
603325.SH,2026-06-26,13.4097,1.458,15.82,17.0458
603179.SH,2026-06-26,40.5841,4.2961,13.62,17.0429
300750.SZ,2026-06-26,24.9076,4.934,24.91,17.0406
605319.SH,2026-06-26,16.9145,2.7614,17.82,17.0291
002891.SZ,2026-06-26,25.2421,2.4731,13.46,16.9487
603659.SH,2026-06-26,23.5783,2.6962,12.15,16.8262
300699.SZ,2026-06-26,42.9108,3.8628,10.74,16.7182
600660.SH,2026-06-26,14.9208,3.3624,25.56,16.651
600711.SH,2026-06-26,10.3847,1.885,12.135,16.6037
601628.SH,2026-06-26,6.8325,1.6555,27.81,16.4806
002545.SZ,2026-06-26,15.6086,2.0812,12.64,16.2734
301059.SZ,2026-06-26,31.3539,3.9453,12.66,16.2363
002811.SZ,2026-06-26,21.2315,2.38,11.42,16.1792
603529.SH,2026-06-26,10.7385,1.6192,21.18,16.1447
000902.SZ,2026-06-26,9.993,1.2236,14.42,15.9665
300743.SZ,2026-06-26,25.3491,3.3972,17.21,15.9373
000920.SZ,2026-06-26,31.125,3.3533,11.39,15.8906
601022.SH,2026-06-26,16.8184,1.5882,10.92,15.8555
000526.SZ,2026-06-26,14.8882,2.8801,22.86,15.8392
603259.SH,2026-06-26,23.2187,4.1868,28.56,15.8372
000737.SZ,2026-06-26,24.2174,3.3429,12.18,15.801
002871.SZ,2026-06-26,45.6629,4.7166,13.77,15.8001
600901.SH,2026-06-26,10.5001,1.3212,13.11,15.7463
300446.SZ,2026-06-26,20.5038,2.4342,15.81,15.7156
603755.SH,2026-06-26,27.0309,2.9991,11.3,15.7045
601058.SH,2026-06-26,11.0826,1.7207,17.04,15.6908
688029.SH,2026-06-26,24.573,3.0926,14.25,15.5456
301058.SZ,2026-06-26,18.0572,1.6898,10.31,15.4779
300577.SZ,2026-06-26,10.979,1.62,14.96,15.3637
002315.SZ,2026-06-26,19.5685,3.2567,20.6,15.1192
601799.SH,2026-06-26,17.2996,2.4175,15.1,15.1192
603486.SH,2026-06-26,17.2314,3.0449,22.19,15.0973
002096.SZ,2026-06-26,16.8826,1.3756,10.27,15.0454
605116.SH,2026-06-26,20.0283,2.8166,22.05,15.0254
002533.SZ,2026-06-26,14.7699,1.6863,14.15,15.0107
301381.SZ,2026-06-26,27.7149,2.6494,10.77,14.9985
601899.SH,2026-06-26,11.2549,3.3302,33.04,14.9648
603199.SH,2026-06-26,16.6719,1.9935,13.55,14.9297
300759.SZ,2026-06-26,30.4257,2.9381,11.6,14.8203
300357.SZ,2026-06-26,28.6011,4.0722,15.19,14.8056
603328.SH,2026-06-26,34.4368,2.9712,11.11,14.797
601702.SH,2026-06-26,12.3013,2.1122,20.08,14.7863
300008.SZ,2026-06-26,34.7748,4.2691,13.26,14.5281
600406.SH,2026-06-26,22.7852,3.4143,16.26,14.5252
300515.SZ,2026-06-26,15.9603,2.8118,21.14,14.4428
000999.SZ,2026-06-26,12.442,1.5865,16.07,14.4332
300132.SZ,2026-06-26,19.9097,1.9426,11.15,14.4105
603966.SH,2026-06-26,19.2705,2.0305,12.73,14.0165
003019.SZ,2026-06-26,35.3294,3.0636,12.04,13.8615
603786.SH,2026-06-26,21.8655,2.8809,15.0,13.7999
300627.SZ,2026-06-26,37.8999,5.0392,17.71,13.7846
600486.SH,2026-06-26,16.8817,1.7708,11.69,13.7584
603766.SH,2026-06-26,15.0654,2.5231,17.5,13.7491
603811.SH,2026-06-26,20.337,2.3972,14.93,13.7156
601127.SH,2026-06-26,21.5008,2.5217,23.53,13.6922
300389.SZ,2026-06-26,22.0212,2.7727,15.78,13.5305
300973.SZ,2026-06-26,15.4784,1.5238,11.67,13.5125
688621.SH,2026-06-26,29.6988,4.5181,18.36,13.3313
300509.SZ,2026-06-26,20.1626,3.6332,19.97,13.3005
002140.SZ,2026-06-26,15.0085,1.3452,11.63,13.1163
603013.SH,2026-06-26,14.7128,1.7407,12.1,13.0906
000997.SZ,2026-06-26,16.2209,2.1505,14.33,13.0766
605020.SH,2026-06-26,32.5058,3.5489,12.32,13.0384
600276.SH,2026-06-26,41.8299,5.077,14.26,13.0243
300470.SZ,2026-06-26,17.1464,1.9739,13.8,12.9149
300643.SZ,2026-06-26,28.1666,3.3097,13.35,12.8566
301175.SZ,2026-06-26,18.9006,1.9026,10.47,12.6159
002395.SZ,2026-06-26,22.6351,2.0558,14.05,12.4743
002967.SZ,2026-06-26,29.0915,2.3376,12.19,12.3662
002758.SZ,2026-06-26,12.3354,0.8237,11.09,12.2644
605259.SH,2026-06-26,13.5889,1.6383,13.82,12.172
603501.SH,2026-06-26,29.7498,3.3065,15.39,12.1418
002311.SZ,2026-06-26,20.0846,2.8184,17.42,12.1004
000333.SZ,2026-06-26,15.1482,2.5743,19.7,12.0802
603132.SH,2026-06-26,25.0085,4.6166,16.45,11.9974
688016.SH,2026-06-26,19.997,2.5154,14.31,11.9624
300304.SZ,2026-06-26,43.6199,5.0783,14.52,11.8281
001210.SZ,2026-06-26,38.7977,3.5485,10.31,11.8144
300547.SZ,2026-06-26,38.0374,5.1388,16.03,11.7363
601717.SH,2026-06-26,7.738,1.0114,18.88,11.6946
600309.SH,2026-06-26,17.6999,2.0174,12.44,11.625
605099.SH,2026-06-26,18.279,3.81,22.77,11.4887
002928.SZ,2026-06-26,14.3174,2.4538,17.06,11.3585
